query,n_relevant,n_retrieved,n_filters_applied,n_hits,hit,precision_at_k,recall_at_k
cheap laptop under $400 for basic tasks,228,5,1,5,True,1.0,0.021929824561403508
gaming laptop with NVIDIA RTX under $1200,3,5,2,1,True,0.2,0.3333333333333333
lightweight ultrabook under 3 lbs,138,5,1,1,True,0.2,0.007246376811594203
laptop with 32GB RAM and 1TB SSD,113,4,2,3,True,0.75,0.02654867256637168
AMD Ryzen laptop under $600,35,5,2,5,True,1.0,0.14285714285714285
Intel Core i7 laptop with NVIDIA graphics,202,5,2,5,True,1.0,0.024752475247524754
Intel Core i5 laptop under $700,140,5,2,5,True,1.0,0.03571428571428571
laptop with a 1TB SSD under $900,27,5,2,2,True,0.4,0.07407407407407407
touchscreen 2-in-1 convertible laptop,78,5,0,0,False,0.0,0.0
premium laptop over $1500 with 32GB RAM,66,5,2,5,True,1.0,0.07575757575757576
Dell business laptop under $1000,217,5,1,5,True,1.0,0.02304147465437788
HP laptop with AMD Ryzen processor,38,5,1,5,True,1.0,0.13157894736842105
Lenovo laptop under $500,69,6,1,6,True,1.0,0.08695652173913043
ASUS laptop with OLED display,10,5,0,2,True,0.4,0.2
Acer laptop under $500,32,5,1,5,True,1.0,0.15625
17 inch gaming laptop,89,5,1,5,True,1.0,0.056179775280898875
compact 13 inch laptop under $800,205,5,1,2,True,0.4,0.00975609756097561
15.6 inch Full HD budget laptop under $500,17,5,1,1,True,0.2,0.058823529411764705
workstation laptop with professional GPU,37,5,0,0,False,0.0,0.0
laptop with integrated graphics only under $400,129,5,1,3,True,0.6,0.023255813953488372
laptop with over 10 hours battery life,67,5,1,1,True,0.2,0.014925373134328358
Chromebook under $300,28,5,1,3,True,0.6,0.10714285714285714
512GB SSD laptop under $600,24,5,2,1,True,0.2,0.041666666666666664
Intel Core Ultra laptop with 16GB RAM,74,5,1,4,True,0.8,0.05405405405405406
laptop under $300 for basic browsing,114,5,1,5,True,1.0,0.043859649122807015
mid-range laptop $700-$1000 with SSD,88,5,1,0,False,0.0,0.0
gaming laptop under $1000,69,5,2,5,True,1.0,0.07246376811594203
business laptop 14 inch under $1200,249,5,1,2,True,0.4,0.008032128514056224
budget student laptop 8GB RAM,46,5,2,0,False,0.0,0.0
high performance laptop 64GB RAM,22,5,1,5,True,1.0,0.22727272727272727
